1619803800000,2754.46000000,2761.37000000,2754.14000000,2760.64000000,3945.27674000,1619804699999,10886655.40355960,6766,2215.51747000,6113936.00566720,0
1619804700000,2760.27000000,2767.88000000,2753.53000000,2757.54000000,4474.59007000,1619805599999,12352006.29545020,7282,2424.17728000,6692340.71895050,0
1619805600000,2757.61000000,2766.60000000,2754.18000000,2762.22000000,4361.93298000,1619806499999,12046196.15434040,6618,2387.61206000,6593804.01818320,0
1619806500000,2762.22000000,2763.19000000,2755.77000000,2760.54000000,4033.66924000,1619807399999,11132817.21315840,6527,1517.06825000,4187363.82544650,0
1619807400000,2760.55000000,2766.54000000,2754.80000000,2766.03000000,5487.65353000,1619808299999,15148049.45913730,7354,2491.54793000,6877729.04796470,0
1619808300000,2766.02000000,2777.62000000,2762.42000000,2775.99000000,7114.22295000,1619809199999,19698127.79040210,9036,3318.40660000,9189883.59816480,0
1619809200000,2776.00000000,2779.88000000,2772.16000000,2774.52000000,5784.09953000,1619810099999,16063004.80515490,12951,2814.56524000,7816656.62748150,0
1619810100000,2774.52000000,2784.62000000,2774.52000000,2780.26000000,5726.74937000,1619810999999,15918271.79815390,13083,3027.98203000,8416853.51299090,0
1619811000000,2780.27000000,2782.00000000,2773.70000000,2780.03000000,3695.94856000,1619811899999,10266673.16293580,11094,1756.17562000,4878520.35701320,0
1619811900000,2780.14000000,2785.00000000,2776.82000000,2783.86000000,4145.89663000,1619812799999,11527579.30425700,10177,2000.71164000,5563271.43344660,0
1619812800000,2783.87000000,2784.49000000,2757.45000000,2779.33000000,7328.96127000,1619813699999,20311451.10240510,21786,3617.94111000,10029258.44393620,0
1619813700000,2779.34000000,2780.00000000,2751.03000000,2759.07000000,6811.30141000,1619814599999,18828293.93385970,20166,3387.91626000,9364320.27331070,0
1619814600000,2759.08000000,2773.74000000,2758.47000000,2770.04000000,4663.27396000,1619815499999,12907680.35842810,16106,2415.01492000,6684424.37045920,0
1619815500000,2770.05000000,2770.19000000,2753.91000000,2761.67000000,3619.62762000,1619816399999,9998833.96591540,16084,1677.00437000,4632082.80682580,0
1619816400000,2761.67000000,2765.17000000,2757.00000000,2758.68000000,2945.38951000,1619817299999,8134086.22317260,15140,1454.69518000,4017416.51117620,0
1619817300000,2758.67000000,2760.10000000,2744.00000000,2747.03000000,4174.75161000,1619818199999,11490453.53939050,19452,1869.49112000,5146713.73744410,0
1619818200000,2747.02000000,2756.66000000,2746.24000000,2755.88000000,2525.84831000,1619819099999,6952359.83947900,16343,1431.04524000,3938635.65197320,0
1619819100000,2755.89000000,2760.00000000,2745.87000000,2753.48000000,4389.07277000,1619819999999,12087827.82516590,18255,2155.61223000,5936915.18735170,0
1619820000000,2753.78000000,2755.13000000,2748.50000000,2750.93000000,3687.99881000,1619820899999,10146624.16510000,9184,1614.21353000,4441087.86575960,0
1619820900000,2750.87000000,2755.46000000,2744.66000000,2754.84000000,4110.58491000,1619821799999,11307394.97655030,10488,1902.32159000,5233024.30733170,0
1619821800000,2754.57000000,2755.86000000,2746.65000000,2749.96000000,4906.29394000,1619822699999,13494626.58811450,10708,2437.44010000,6704253.54095150,0
1619822700000,2749.96000000,2750.12000000,2738.00000000,2745.44000000,4717.29577000,1619823599999,12939754.98865480,11538,2266.14231000,6216206.36144090,0
1619823600000,2745.36000000,2752.74000000,2743.28000000,2749.81000000,4345.31343000,1619824499999,11942621.49332670,9920,2329.88445000,6403257.08591410,0
1619824500000,2749.80000000,2760.74000000,2748.35000000,2759.86000000,4001.85049000,1619825399999,11028073.60819840,11065,1872.14347000,5158665.83246560,0
1619825400000,2759.87000000,2770.96000000,2758.00000000,2769.14000000,6490.84446000,1619826299999,17954528.52049930,13642,3092.39079000,8553674.29634180,0
1619826300000,2769.20000000,2774.99000000,2766.25000000,2772.42000000,4967.42918000,1619827199999,13768319.37960880,11752,2600.76636000,7208596.93413230,0
1619827200000,2772.42000000,2778.82000000,2761.72000000,2773.23000000,12907.39026000,1619828099999,35787972.85480620,16054,5860.85522000,16250364.40633250,0
1619828100000,2773.23000000,2775.00000000,2743.41000000,2771.68000000,9777.47615000,1619828999999,27051332.12057360,13184,3757.04258000,10406015.90862750,0
1619829000000,2771.69000000,2772.64000000,2764.05000000,2766.72000000,4476.69016000,1619829899999,12393487.86025930,7482,2024.35441000,5604095.25407600,0
1619829900000,2766.82000000,2772.87000000,2762.35000000,2768.75000000,3798.62950000,1619830799999,10515300.05498800,6225,1989.43767000,5507309.18771830,0
1619830800000,2768.75000000,2768.75000000,2751.72000000,2759.67000000,4826.21604000,1619831699999,13311439.15631110,13740,2422.21448000,6680724.01017270,0
1619831700000,2759.65000000,2765.00000000,2758.00000000,2764.40000000,4372.42776000,1619832599999,12074277.59663920,13736,2280.58949000,6297696.53332090,0
1619832600000,2764.41000000,2778.00000000,2761.65000000,2776.82000000,6219.05751000,1619833499999,17229813.12316050,15606,3846.77150000,10657588.32607280,0
1619833500000,2776.82000000,2797.00000000,2766.05000000,2797.00000000,13507.26676000,1619834399999,37543248.51340080,26458,8408.89813000,23391125.69094210,0
1619834400000,2797.00000000,2839.00000000,2791.43000000,2833.67000000,33015.97558000,1619835299999,93108770.94776390,77127,20667.43229000,58264477.69868750,0
1619835300000,2833.36000000,2840.00000000,2827.08000000,2828.19000000,9377.71008000,1619836199999,26558839.69475560,28117,5501.33063000,15582635.39502320,0
1619836200000,2828.22000000,2834.92000000,2810.04000000,2827.83000000,9012.42264000,1619837099999,25464131.39900510,26793,4083.60738000,11541469.40689380,0
